data,hora,valor
20240429,1900,298.715
20240429,2000,298.679
20240429,2100,298.648
20240429,2200,298.614
20240429,2300,298.579
20240430,0000,298.547
20240430,0100,298.514
20240430,0200,298.482
20240430,0300,298.45
20240430,0400,298.417
20240430,0500,298.376
20240430,0600,298.332
20240430,0700,298.283
20240430,0800,298.233
20240430,0900,298.18
20240430,1000,298.134
20240430,1100,298.169
20240430,1200,298.276
20240430,1300,298.432
20240430,1400,298.613
20240430,1500,298.787
20240430,1600,298.94
20240430,1700,299.07
20240430,1800,299.167
20240430,1900,299.198
20240430,2000,299.179
20240430,2100,299.145
20240430,2200,299.089
20240430,2300,299.049
20240501,0000,299.009
20240501,0100,298.965
20240501,0200,298.916
20240501,0300,298.86
20240501,0400,298.801
20240501,0500,298.737
20240501,0600,298.668
20240501,0700,298.597
20240501,0800,298.523
20240501,0900,298.446
20240501,1000,298.388
20240501,1100,298.394
20240501,1200,298.472
20240501,1300,298.579
20240501,1400,298.707
20240501,1500,298.851
20240501,1600,299.033
20240501,1700,299.301
20240501,1800,299.695
20240501,1900,299.784
20240501,2000,299.743
20240501,2100,299.702
20240501,2200,299.633
20240501,2300,299.584
20240502,0000,299.531
20240502,0100,299.474
20240502,0200,299.417
20240502,0300,299.355
20240502,0400,299.29
20240502,0500,299.221
20240502,0600,299.148
20240502,0700,299.069
20240502,0800,298.986
20240502,0900,298.899
20240502,1000,298.795
20240502,1100,298.771
20240502,1200,298.685
20240502,1300,298.636
20240502,1400,298.611
20240502,1500,298.6
20240502,1600,298.612
20240502,1700,298.666
20240502,1800,298.748
20240502,1900,298.849
20240502,2000,298.931
20240502,2100,298.915
20240502,2200,298.897
20240502,2300,298.865
20240503,0000,298.825
20240503,0100,298.776
20240503,0200,298.722
20240503,0300,298.663
20240503,0400,298.6
20240503,0500,298.535
20240503,0600,298.466
20240503,0700,298.395
20240503,0800,298.322
20240503,0900,298.247
20240503,1000,298.172
20240503,1100,298.175
20240503,1200,298.273
20240503,1300,298.403
20240503,1400,298.492
20240503,1500,298.561
20240503,1600,298.628
20240503,1700,298.69
20240503,1800,298.736
20240503,1900,298.764
20240503,2000,298.773
20240503,2100,298.748
20240503,2200,298.704
20240503,2300,298.663
20240504,0000,298.62
20240504,0100,298.578
20240504,0200,298.537
20240504,0300,298.498
20240504,0400,298.456
20240504,0500,298.409
20240504,0600,298.36
20240504,0700,298.31
20240504,0800,298.258
20240504,0900,298.205
20240504,1000,298.166
20240504,1100,298.223
20240504,1200,298.354
20240504,1300,298.539
20240504,1400,298.75
20240504,1500,298.941
20240504,1600,299.102
20240504,1700,299.215
20240504,1800,299.269
20240504,1900,299.261
20240504,2000,299.25
20240504,2100,299.218
20240504,2200,299.227
20240504,2300,299.188
20240505,0000,299.14
20240505,0100,299.084
20240505,0200,299.019
20240505,0300,298.946
20240505,0400,298.865
20240505,0500,298.78
20240505,0600,298.69
20240505,0700,298.595
20240505,0800,298.498
20240505,0900,298.399
20240505,1000,298.312
20240505,1100,298.295
20240505,1200,298.413
20240505,1300,298.579
20240505,1400,298.795
20240505,1500,299.061
20240505,1600,299.344
20240505,1700,299.571
20240505,1800,299.63
20240505,1900,299.598
20240505,2000,299.57
20240505,2100,299.5
20240505,2200,299.442
20240505,2300,299.372
20240506,0000,299.301
20240506,0100,299.225
20240506,0200,299.142
20240506,0300,299.054
20240506,0400,298.961
20240506,0500,298.865
20240506,0600,298.771
20240506,0700,298.677
20240506,0800,298.589
20240506,0900,298.503
20240506,1000,298.433
20240506,1100,298.412
20240506,1200,298.434
20240506,1300,298.451
20240506,1400,298.503
20240506,1500,298.609
20240506,1600,298.752
20240506,1700,298.875
20240506,1800,298.918
20240506,1900,298.897
20240506,2000,298.886
20240506,2100,298.845
20240506,2200,298.787
20240506,2300,298.728
20240507,0000,298.666
20240507,0100,298.601
20240507,0200,298.533
20240507,0300,298.463
20240507,0400,298.39
20240507,0500,298.316
20240507,0600,298.243
20240507,0700,298.168
20240507,0800,298.093
20240507,0900,298.017
20240507,1000,297.946
